url,source_file,robots,in_sitemap,decision,accidental,reason
https://worthcalc.win/de/subscription-creep/,,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/budget-builder/,src/content/growth-tools/de/budget-builder.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/car-affordability/,src/content/growth-tools/de/car-affordability.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/cashback-breakeven/,src/pages/[locale]/tools/[tool].astro,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/compound-growth/,src/content/growth-tools/de/compound-growth.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/costco-membership/,src/pages/[locale]/tools/[tool].astro,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/credit-card-payoff/,src/content/growth-tools/de/credit-card-payoff.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/debt-strategy/,src/content/growth-tools/de/debt-strategy.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/dti-calculator/,src/content/growth-tools/de/dti-calculator.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/home-affordability/,src/content/growth-tools/de/home-affordability.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/latte-factor/,src/pages/[locale]/tools/[tool].astro,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/mortgage-payoff/,src/content/growth-tools/de/mortgage-payoff.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/salary-converter/,src/content/growth-tools/de/salary-converter.md,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/tools/subscription-audit/,src/pages/[locale]/tools/[tool].astro,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/true-hourly-wage-after-commuting-work-expenses/,,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/upfront-fees-financing-cost/,,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/upgrade-your-phone-or-keep-it/,,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
https://worthcalc.win/de/work-from-home-vs-commuting-hidden-costs/,,"noindex,follow",false,INTENTIONAL_REGISTRY_OR_PAGE_POLICY,false,deindexedRegistry: German zero-impression cohort under review on 2026-09-14
